,Title,Published_date,Views,Month
59,Chikki Bambe Full Video Song [Hindi] | Vikrant Rona | Kichcha Sudeep | Anup Bhandari | B Ajaneesh,30-07-2022,495079,Jul
60,"Dialogue Promo 07 : Ek Villain Returns- Apna Dil Bekhauf Raha | John, Disha, Arjun, Tara | Bhushan K",30-07-2022,350683,Jul
61,"Bhool Bhulaiyaa (Cine Audio) Ep 08: The Final Battle | Akshay, Vidya, Ameesha, Shiney| Bhushan K",30-07-2022,18528,Jul
62,"Bhool Bhulaiyaa (Cine Audio) Ep 07: Avni's Truth | Akshay, Vidya, Ameesha, Shiney| Bhushan K",30-07-2022,11304,Jul
63,"Bhool Bhulaiyaa (Cine Audio) Ep 06: The Backstory and Investigation | Akshay, Vidya | Bhushan K",30-07-2022,7000,Jul
64,"Bhool Bhulaiyaa(Cine Audio) Ep 05: Aditya Meets Monjulika | Akshay,Vidya, Ameesha, Shiney| Bhushan K",30-07-2022,13701,Jul
65,"Bhool Bhulaiyaa (Cine Audio) Ep 04: Dr. Aditya‚??s Entry | Akshay, Vidya, Ameesha, Shiney| Bhushan K",30-07-2022,8034,Jul
66,"Bhool Bhulaiyaa (Cine Audio) Ep 03: The Game of Horror | Akshay, Vidya, Ameesha, Shiney| Bhushan K",30-07-2022,5626,Jul
67,"Bhool Bhulaiyaa (Cine Audio) Ep 02: Monjulika's Story | Akshay, Vidya, Ameesha, Shiney | Bhushan K",30-07-2022,6814,Jul
68,"Bhool Bhulaiyaa (Cine Audio) Ep 01: The Story | Akshay K, Vidya B, Ameesha P, Shiney A | Bhushan K",30-07-2022,50469,Jul
69,"Kahani Baaki Hai (Full Video) - HIT: The First Case | Rajkummar,Sanya | Divya K, Manan | Bhushan K",30-07-2022,44312,Jul
70,Raat Ranjha Aur Rekha (Jukebox) - Rekha Bhardwaj | Genda Phool | Ranjha Ranjha | Teri Fariyad,29-07-2022,146514,Jul
71,"The Villains' Eventful Journey! (Behind The Scenes) Ek Villain Returns | John, Disha, Arjun, Tara",29-07-2022,150677,Jul
72,Chaitanya Akkineni as Bala I Laal Singh Chaddha I Aamir I Kareena I Chaitanya I Advait I Mona,29-07-2022,1863687,Jul
73,"Dialogue Promo 06 : Ek Villain Returns - Main Maar Dunga | John, Disha, Arjun, Tara | Bhushan K",29-07-2022,459444,Jul
74,"Naginwala Song - Token: The Treasure | Anup Jalota, Jasleen Matharu | Rani Hazarika | T-Series",29-07-2022,109379,Jul
75,Dhoke Pyaar Ke - #khushaliikumar | #bpraak | #ehanbhat  #shorts | Mobile Status,29-07-2022,188152,Jul
76,#fateh #shabaashmithu starring #tapseepannu #shorts Video Status,29-07-2022,44637,Jul
77,"Naa Tere Bin (Audio) - Ek Villain Returns | John,Disha,Arjun,Tara | Tanishk B, Altamash | Bhushan K",29-07-2022,324372,Jul
78,"Fateh (Lyrical) - Shabaash Mithu | Taapsee P | Romy, Charan, Salvage Audio Collective | Bhushan K",28-07-2022,53735,Jul
79,"Dialogue Promo 05:Ek Villain Returns- Love Story Ka Asli Villain | John,Disha,Arjun,Tara | Bhushan K",28-07-2022,277032,Jul
80,"Dhokha: Round D Corner (Teaser) | R. Madhavan, Khushalii K, Darshan K, Aparshakti K | Bhushan K",28-07-2022,2676983,Jul
81,"Shaamat (Audio) - Ek Villain Returns | John, Disha, Arjun, Tara | Ankit T,Prince D, Mohit S, Ektaa K",28-07-2022,506882,Jul
82,Exhilarating Musical Mixture By DJ Yogii | Top 10 Remix Songs | Oo Bolega | Malang | Tera Ban Jaunga,27-07-2022,116929,Jul
83,"Aadmi Bhutiya Hai(Full Video) Sherdil: The Pilibhit Saga | RAHGIR | Pankaj,Neeraj,Sayani | Bhushan K",27-07-2022,55070,Jul
84,#rararakkamma  super hot #jaqulinefernandez  #shorts,27-07-2022,96227,Jul
85,"Tinka (Lyrical)- HIT: The First Case | Rajkummar R, Sanya M | Jubin Nautiyal, Manan B | Bhushan K",27-07-2022,60556,Jul
86,Beete Lamhein (Love) - LoFi By DJ Chetas & DJ NYK | Emraan Hashmi  | K K | Mithoon | Bhushan K,27-07-2022,146998,Jul
87,"Dhoop Paani Bahne De (Full Video)Sherdil: The Pilibhit Saga|KK,Rituraj, Gulzar Saab,Shantanu,Srijit",27-07-2022,14093,Jul
88,Sanjay Dutt (Video Jukebox) - Baba Bolta Hai | Best of Sanjay Dutt's Songs | Bhushan Kumar,27-07-2022,153365,Jul
89,"Dil(Audio): Ek Villain Returns|John,Disha,Arjun,Tara,Raghav Kaushik-Guddu|Mohit,Kunaal,Ektaa,Bhushan",27-07-2022,848317,Jul
90,"HIT: The First Case (Jukebox) | Divya Kumar, Jubin Nautiyal, Mithoon, Arijit Singh | Bhushan Kumar",26-07-2022,118824,Jul
91,"De Taali Official Remix By Dj Sunny Singh UK - Bhool Bhulaiyaa 2 |Kartik, Kiara,Yo Yo Honey S,Armaan",26-07-2022,248412,Jul
92,Ra Ra Rakkamma Hindi (Video Song Teaser) | Vikrant Rona | Kichcha Sudeep |Jacqueline | Anup Bhandari,26-07-2022,1910831,Jul
